,review_id,rating,text,review_url,user_id,PROPERTYTYPE,Store_name,SOURCE,DATE_SCRAPED
1,3WQ4xUr5sIEIJ04nIedJ5w,5,You want justice you will get it here. The community's gem. This group never gives up. A real spirited group of young people and mentors,https://www.yelp.com/biz/chucos-justice-center-inglewood?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=3WQ4xUr5sIEIJ04nIedJ5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,uVztVNAcpZnL5aWu3PqntQ,community center,Chuco's Justice Center,yelp,12-01-2019
2,H82iKSMUPZUjS9HdVn8dLg,4,"This is definitely a hidden gem in Los Angeles. They offer homage to fallen citizens, offer tons of cultural classes like capoeira Angola and samba, and...",https://www.yelp.com/biz/chucos-justice-center-inglewood?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=H82iKSMUPZUjS9HdVn8dLg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,uGJByenTmuO51wnqVcMFMg,community center,Chuco's Justice Center,yelp,12-01-2019
0,DmxMduYXi0WgpGFjiyvJAg,5,"Great place to play Pickleball on tues am 9-12 thurs am 9-12 and Tuesday night 6-9pm 

Friendly group of people you can find on Facebook called Glendale...",https://www.yelp.com/biz/pacific-park-and-community-center-glendale?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=DmxMduYXi0WgpGFjiyvJAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,x1zZPjSL5NOy2c5lqHjGZg,community center,Pacific Park and Community Center,yelp,12-01-2019
1,uyBdZ0-sJkY2LiadhotKiA,5,"My kids love this park, especially during the summer when they have the Splash Pad going. It is easy to take the kids and let them run around. They go...",https://www.yelp.com/biz/pacific-park-and-community-center-glendale?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=uyBdZ0-sJkY2LiadhotKiA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,BZzH2FHFacwcDuCbjQWasw,community center,Pacific Park and Community Center,yelp,12-01-2019
2,6NI_eeeF8zNDCsEFuhAsAw,5,I love coming to this park. I love to play basketball and shoot around both  in the inside and outside courts. The baseball and soccer field are large...,https://www.yelp.com/biz/pacific-park-and-community-center-glendale?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=6NI_eeeF8zNDCsEFuhAsAw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,wDJtaqfhrStAwqwRuxdMIg,community center,Pacific Park and Community Center,yelp,12-01-2019
0,2E6Nr6-1_YuwqiP23YVL3A,5,"Spacious and well-appointed venue; very accommodating staff and management - Swathi, who handles the bookings, is an incredibly kind and giving person....",https://www.yelp.com/biz/the-catalina-room-redondo-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=2E6Nr6-1_YuwqiP23YVL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,wNxaq_Do__3oWtegRY411A,community center,The Catalina Room,yelp,12-01-2019
1,mjSy_USRoSat21RBwhfpYQ,5,"A beautiful venue that made for an unforgettable wedding night for our daughter and her husband! The ballroom is magical with all of the bistro lights, the...",https://www.yelp.com/biz/the-catalina-room-redondo-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=mjSy_USRoSat21RBwhfpYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,-MgTv6G5tKGHnTe4XHMJyQ,community center,The Catalina Room,yelp,12-01-2019
2,1sj_8Ykdko8qI4hZLfvlwg,5,"My niece just had her wedding there and it was amazing! The staff was super helpful and very nice. The location was perfect, and the venue was exquisite!",https://www.yelp.com/biz/the-catalina-room-redondo-beach?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=1sj_8Ykdko8qI4hZLfvlwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,DapYttkq_Rz8Q885pIOVyg,community center,The Catalina Room,yelp,12-01-2019
0,m09NHdtI8TawnPMhXGtWQg,5,Such an awesome center! They offer so many programs here and the staff is amazing! They just remodeled the playground and it looks so nice!very thankful for...,https://www.yelp.com/biz/richstone-family-center-hawthorne?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=m09NHdtI8TawnPMhXGtWQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,q_vhO35lho9qk4aZdIH3bg,community center,Richstone Family Center,yelp,12-01-2019
1,stzTsXmRCtw46wPciHJQ-w,5,Love this place so helpful with everything and the people are so nice and they have so many programs tgat are very resourceful for families,https://www.yelp.com/biz/richstone-family-center-hawthorne?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=stzTsXmRCtw46wPciHJQ-w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,DrdGku0_C7gzvIQdvvB36g,community center,Richstone Family Center,yelp,12-01-2019
